Região Administrativa;População Total
CRUZEIRO;31514
SOBRADINHO II;80830
CANDANGOLÂNDIA;16019
BRAZLÂNDIA;57974
SAMAMBAIA;201230
SUDOESTE/OCTOGONAL;50033
SIA;4356
PLANALTINA;172657
PARANOÁ;48281
VARJÃO;8793
GUARÁ;107847
CEILÂNDIA;405932
PARK WAY;20345
ÁGUAS CLARAS;98928
LAGO NORTE;35821
PLANO PILOTO;206183
JARDIM BOTÂNICO;35865
SOBRADINHO;70252
NÚCLEO BANDEIRANTE;23134
SCIA;30687
LAGO SUL;29377
FERCAL;8763
VICENTE PIRES;61066
ITAPOÃ;52089
TAGUATINGA;205702
PARK WAY;20345
GAMA ;141911
RIACHO FUNDO ;37278
RIACHO FUNDO II ;85658
SANTA MARIA ;130970
SÃO SEBASTIÃO ;118972
ARAPOANGA;47336
RECANTO DAS EMAS;145304
SOL NASCENTE E POR DO SOL;92217
ARNIQUEIRA;46621
AGUA QUENTE;30000
